"X.1","Area","Mean","Min","Max","X","Y","distance_cm","cond","day","min"
26,0,116,116,116,1865,1061,5.81338224918197,"ctl","1",5
27,0,142,142,142,1867,974,5.80006866213023,"ctl","1",5
28,0,157,157,157,1886,934,5.68979041476662,"ctl","1",5
29,0,130,130,130,1812,919,6.11577713693123,"ctl","1",5
30,0,142,142,142,1802,927,6.17354945330738,"ctl","1",5
31,0,92,92,92,1802,898,6.17295209277438,"ctl","1",5
32,0,134,134,134,1784,898,6.27664564184886,"ctl","1",5
33,0,83,83,83,1743,953,6.51396942877843,"ctl","1",5
34,0,56,56,56,1732,986,6.57801746385767,"ctl","1",5
35,0,62,62,62,1621,897,7.21562773760648,"ctl","1",5
36,0,209,209,209,1548,905,7.63632747574333,"ctl","1",5
37,0,202,202,202,1443,929,8.2417008793488,"ctl","1",5
38,0,185,185,185,1416,933,8.3973235975168,"ctl","1",5
39,0,97,97,97,1219,1111,9.53585844236406,"ctl","1",5
40,0,142,142,142,1256,982,9.32005336704881,"ctl","1",5
41,0,179,179,179,1272,905,9.22629522821871,"ctl","1",5
42,0,205,205,205,1186,906,9.72174056132475,"ctl","1",5
43,0,145,145,145,1019,952,10.6847338040241,"ctl","1",5
44,0,240,240,240,1013,908,10.7183919802632,"ctl","1",5
45,0,163,163,163,876,902,11.5074915119401,"ctl","1",5
46,0,166,166,166,750,1094,12.2373012941628,"ctl","1",5
47,0,184,184,184,612,1147,13.0333768982711,"ctl","1",5
48,0,191,191,191,608,923,13.0518058140251,"ctl","1",5
49,0,204,204,204,687,911,12.5964591649738,"ctl","1",5
3,0,134,134,134,2650,1124,1.31690690969962,"ctl","1",60
4,0,131,131,131,2312,1134,3.27140070630259,"ctl","1",60
5,0,63,63,63,2312,1148,3.27207839434195,"ctl","1",60
6,0,155,155,155,2211,1154,3.85625931463372,"ctl","1",60
7,0,198,198,198,1631,904,7.19719219681091,"ctl","1",60
8,0,203,203,203,1563,1148,7.60211771550933,"ctl","1",60
9,0,168,168,168,1321,918,8.9900089897393,"ctl","1",60
10,0,116,116,116,1214,1166,9.62059079517463,"ctl","1",60
11,0,227,227,227,1054,1158,10.5451785667446,"ctl","1",60
12,0,163,163,163,1096,898,10.289786988485,"ctl","1",60
13,0,223,223,223,949,912,11.140285477875,"ctl","1",60
14,0,112,112,112,921,909,11.3020108878381,"ctl","1",60
15,0,156,156,156,864,910,11.6315816456707,"ctl","1",60
16,0,123,123,123,880,930,11.5400522692534,"ctl","1",60
17,0,191,191,191,808,912,11.9554197159052,"ctl","1",60
18,0,116,116,116,802,1142,12.0012397255864,"ctl","1",60
19,0,188,188,188,793,1168,12.0545281340687,"ctl","1",60
20,0,198,198,198,756,1169,12.2684770141666,"ctl","1",60
21,0,88,88,88,756,1153,12.2677025135502,"ctl","1",60
22,0,139,139,139,719,1153,12.4816029873595,"ctl","1",60
23,0,151,151,151,714,1096,12.5077492983473,"ctl","1",60
24,0,119,119,119,678,1153,12.7186278367158,"ctl","1",60
25,0,127,127,127,650,1160,12.8808373095642,"ctl","1",60
26,0,144,144,144,657,1139,12.839353120298,"ctl","1",60
27,0,187,187,187,603,1165,13.1527907536835,"ctl","1",60
28,0,156,156,156,605,1154,13.1406960967363,"ctl","1",60
29,0,185,185,185,582,1146,13.2732740058231,"ctl","1",60
30,0,194,194,194,593,1123,13.2085686284329,"ctl","1",60
31,0,177,177,177,626,1129,13.0180829679016,"ctl","1",60
32,0,145,145,145,622,1119,13.0407232805633,"ctl","1",60
33,0,203,203,203,630,1117,12.9943777168924,"ctl","1",60
34,0,122,122,122,660,1094,12.8198315556541,"ctl","1",60
35,0,164,164,164,615,1076,13.0791094673639,"ctl","1",60
36,0,202,202,202,542,1060,13.5003548204794,"ctl","1",60
37,0,160,160,160,603,1053,13.1473692493687,"ctl","1",60
